"STATION","NAME","DATE","TAVG"
"CHM00058606","NANCHANG, CH","2008-09-22","88"
"CHM00058606","NANCHANG, CH","2008-09-23","89"
"CHM00058606","NANCHANG, CH","2008-09-24","87"
"CHM00058606","NANCHANG, CH","2008-09-25","83"
"CHM00058606","NANCHANG, CH","2008-09-26","73"
"CHM00058606","NANCHANG, CH","2008-09-27","70"
"CHM00058606","NANCHANG, CH","2008-09-28","73"
"CHM00058606","NANCHANG, CH","2008-09-29","72"
"CHM00058606","NANCHANG, CH","2008-09-30","73"
"CHM00058606","NANCHANG, CH","2008-10-01","73"
"CHM00058606","NANCHANG, CH","2008-10-02","73"
"CHM00058606","NANCHANG, CH","2008-10-03","77"
"CHM00058606","NANCHANG, CH","2008-10-04","74"
"CHM00058606","NANCHANG, CH","2008-10-05","72"
"CHM00058606","NANCHANG, CH","2008-10-06","72"
"CHM00058606","NANCHANG, CH","2008-10-07","66"
"CHM00058606","NANCHANG, CH","2008-10-08","72"
"CHM00058606","NANCHANG, CH","2008-10-09","76"
"CHM00058606","NANCHANG, CH","2008-10-10","75"
"CHM00058606","NANCHANG, CH","2008-10-11","68"
"CHM00058606","NANCHANG, CH","2008-10-12","64"
"CHM00058606","NANCHANG, CH","2008-10-13","67"
"CHM00058606","NANCHANG, CH","2008-10-14","70"
"CHM00058606","NANCHANG, CH","2008-10-15","72"
"CHM00058606","NANCHANG, CH","2008-10-16","75"
"CHM00058606","NANCHANG, CH","2008-10-17","76"
"CHM00058606","NANCHANG, CH","2008-10-18","74"
"CHM00058606","NANCHANG, CH","2008-10-19","78"
"CHM00058606","NANCHANG, CH","2008-10-20","79"
"CHM00058606","NANCHANG, CH","2008-10-21","78"
"CHM00058606","NANCHANG, CH","2008-10-22","73"
"CHM00058606","NANCHANG, CH","2008-10-23","68"
"CHM00058606","NANCHANG, CH","2008-10-24","62"
"CHM00058606","NANCHANG, CH","2008-10-25","60"
"CHM00058606","NANCHANG, CH","2008-10-26","60"
"CHM00058606","NANCHANG, CH","2008-10-27","65"
"CHM00058606","NANCHANG, CH","2008-10-28","67"
"CHM00058606","NANCHANG, CH","2008-10-29","68"
"CHM00058606","NANCHANG, CH","2008-10-30","63"
"CHM00058606","NANCHANG, CH","2008-10-31","62"
"CHM00058606","NANCHANG, CH","2008-11-01","62"
"CHM00058606","NANCHANG, CH","2008-11-02","62"
"CHM00058606","NANCHANG, CH","2008-11-03","64"
"CHM00058606","NANCHANG, CH","2008-11-04","64"
"CHM00058606","NANCHANG, CH","2008-11-05","65"
"CHM00058606","NANCHANG, CH","2008-11-06","68"
"CHM00058606","NANCHANG, CH","2008-11-07","62"
"CHM00058606","NANCHANG, CH","2008-11-08","59"
"CHM00058606","NANCHANG, CH","2008-11-09","56"
"CHM00058606","NANCHANG, CH","2008-11-10","55"
"CHM00058606","NANCHANG, CH","2008-11-11","54"
"CHM00058606","NANCHANG, CH","2008-11-12","54"
"CHM00058606","NANCHANG, CH","2008-11-13","58"
"CHM00058606","NANCHANG, CH","2008-11-14","60"
"CHM00058606","NANCHANG, CH","2008-11-15","62"
